rep,method,estimate,error,estimate_income,error_income,main_l2,pair_l2,validation_tv,ess,max_weight,num_trees
0,Biased source,6.875292141272941,1.2057621804429672,38250.73333333333,13727.818535127051,0.9192267570266135,1.04052361506548,0.11041684263806856,449.9999999999999,0.0022222222222222222,
0,Main-effect EB,5.626168067695171,-0.04336189313480254,22051.778173360173,-2471.1366248461054,2.8161507765908083e-13,0.5124875541515711,0.01389235868029611,266.177578221527,0.01419552493601128,
0,Fixed pairwise EB,5.784228819466531,0.11469885863655715,24060.762240840155,-462.1525573661238,1.0447337308768334e-09,2.4909401358497734e-09,0.009753223789709371,192.02530231712373,0.027681195233252912,
0,EB-offset hybrid: main,5.607874638585323,-0.061655322244650534,22232.321763470503,-2290.5930347357753,4.560687415572935e-09,0.440195676350067,0.010627930355648118,249.75819019132433,0.015382217003872647,11.0
0,EB-offset hybrid: pairwise,5.774736015185362,0.10520605435538855,23925.609959176232,-597.3048390300464,2.1614803823151246e-14,2.3300743790634414e-14,0.00783929494270696,185.73992343396074,0.028121627719099936,8.0
1,Biased source,6.997076089178102,1.3275461283481285,41495.95555555555,16973.04075734927,0.9300450959358616,1.039145703260567,0.10933421912196227,449.9999999999999,0.0022222222222222222,
1,Main-effect EB,5.797561444167102,0.12803148333712855,23725.452754001533,-797.4620442047453,1.835909236645654e-12,0.4127464864675421,0.013243067104241564,263.76287900465405,0.015002509957551475,
1,Fixed pairwise EB,5.87397017950023,0.20444021867025608,25145.45436389469,622.5395656884102,5.439305112755708e-13,1.082250684969291e-12,0.00948620188204053,228.2847881989211,0.020526078939478547,
1,EB-offset hybrid: main,5.765058929043665,0.09552896821369128,24050.857306432736,-472.057491773543,5.4423981109083454e-09,0.38357226779772685,0.012359982655992936,256.6841467234692,0.014098911187244977,11.0
1,EB-offset hybrid: pairwise,5.853742160226172,0.1842121993961987,25243.02790386553,720.113105659253,2.006281755237936e-15,5.126515429087451e-15,0.008750088641650377,226.1068748149042,0.0199592735187389,4.0
2,Biased source,7.036710715088134,1.3671807542581602,36931.77777777778,12408.862979571502,0.8628091575042326,0.9693303341468569,0.10366672202845616,449.9999999999999,0.0022222222222222222,
2,Main-effect EB,5.743901061937668,0.07437110110769396,21986.875270719727,-2536.0395274865514,1.1417841121441001e-15,0.45836137809475674,0.01259447493434961,286.2953358711301,0.01439255277937854,
2,Fixed pairwise EB,5.748297958098352,0.07876799726837813,24379.25289419081,-143.6619040154692,8.473484999786696e-11,1.585457374035749e-10,0.009004237750151326,226.76465967533554,0.016396990112704814,
2,EB-offset hybrid: main,5.743901061937668,0.07437110110769396,21986.875270719727,-2536.0395274865514,1.1417841121441001e-15,0.45836137809475674,0.01259447493434961,286.2953358711301,0.01439255277937854,0.0
2,EB-offset hybrid: pairwise,5.748297958098352,0.07876799726837813,24379.25289419081,-143.6619040154692,8.473484999786696e-11,1.585457374035749e-10,0.009004237750151326,226.76465967533554,0.016396990112704814,0.0
3,Biased source,6.972217944149819,1.3026879833198457,37439.62222222223,12916.707424015949,0.9048478787970614,1.0611969943348534,0.10790322759231598,449.9999999999999,0.0022222222222222222,
3,Main-effect EB,5.712071756183938,0.04254179535396396,21091.744366872223,-3431.170431334056,7.350017240926923e-15,0.5743145705374431,0.014147372103975805,284.4521755268974,0.014277464053085087,
3,Fixed pairwise EB,5.730191327205712,0.06066136637573827,22179.491179944987,-2343.4236182612913,1.7264685171765606e-09,3.440996890728582e-09,0.0051562586503392785,201.9131188704118,0.022118443461729385,
3,EB-offset hybrid: main,5.690765250365135,0.021235289535161073,21241.228169115217,-3281.686629091062,2.774236727028933e-09,0.45343319214660965,0.01193441879203381,271.88810327987505,0.01526249144720405,9.0
3,EB-offset hybrid: pairwise,5.724881953533577,0.05535199270360369,22182.47722128588,-2340.437576920398,3.645354300034487e-15,1.0212303188828568e-14,0.005145035090807686,201.69805896937447,0.022206748254145973,2.0
4,Biased source,6.972305249627522,1.3027752887975481,40856.73333333332,16333.818535127044,0.9072838210343204,1.0259097803764492,0.10491793010178682,449.9999999999999,0.0022222222222222222,
4,Main-effect EB,5.73635421582635,0.06682425499637645,23228.823245702726,-1294.0915525035525,1.843666001069453e-14,0.5556106640698874,0.012338302913359704,253.7393918748913,0.014205580023352751,
4,Fixed pairwise EB,5.746805425300697,0.07727546447072342,25120.36916370126,597.4543654949812,5.932733186357122e-12,1.139566975119416e-11,0.005151795159555586,175.6622168753481,0.028507046155490493,
4,EB-offset hybrid: main,5.735018225028895,0.06548826419892162,23506.224542734682,-1016.6902554715962,7.119306554982548e-09,0.5006200413565076,0.011661266673982653,246.53439077571798,0.013381125861608497,7.0
4,EB-offset hybrid: pairwise,5.740924767821461,0.07139480699148759,25147.74000393098,624.8252057247009,1.09694961758712e-15,2.7691175873543e-15,0.0049547664263231775,175.47044581369747,0.028414357594550438,1.0
5,Biased source,7.050808672907839,1.3812787120778651,37732.955555555556,13210.040757349278,0.8993088249142833,1.0266556076598101,0.10622820129546606,449.9999999999999,0.0022222222222222222,
5,Main-effect EB,5.70842678282768,0.03889682199770661,22030.074323204775,-2492.8404750015034,1.1039347785593113e-10,0.4706419993924232,0.014456609834665615,296.82607180026474,0.00982336730492861,
5,Fixed pairwise EB,5.786330404808992,0.11680044397901845,23478.918850675997,-1043.9959475302821,3.0069178589085664e-09,5.848664579432729e-09,0.009711027277452388,229.77401314555138,0.02386202512589839,
