method,estimate,error,ess,main_l2,pair_l2,latent_z_l2,num_trees,rep
Naive respondents,199.61390371390155,-10.971335649826926,485.0000000000001,0.47295136901858337,0.20026777211376293,0.5202725499852778,0.0,0
OLS prediction,209.99843721689268,-0.5868021468357938,,,,,,0
EB main,208.86050489798976,-1.7247344657387202,314.24686489089186,6.135894902575676e-15,0.309319231862272,0.20882435199067448,0.0,0
EB pairwise,210.89976701754088,0.3145276538124051,265.2422168439144,1.9627101679997414e-11,3.170957075989032e-11,0.05990193367518342,0.0,0
EB-offset hybrid: main,209.83991597875254,-0.7453233849759329,287.33229902278845,4.997197186681712e-10,0.18740399841926797,0.1347225746502434,17.0,0
EB-offset hybrid: pairwise,211.04333720820847,0.4580978444799939,258.67296832069405,4.6237834310241335e-14,5.297619724003078e-14,0.05722717503106062,25.0,0
Naive respondents,201.03987355042898,-10.275158177988885,493.0,0.44246847825549357,0.19886869348930486,0.49566859295564364,0.0,1
OLS prediction,210.33117542337132,-0.9838563050465439,,,,,,1
EB main,209.23840958898685,-2.0766221394310094,378.54346393581824,2.9069997508443188e-15,0.17782258266635642,0.17375522675840743,0.0,1
EB pairwise,209.1354671849358,-2.1795645434820585,343.1586078954378,8.498304666582492e-10,1.480913963831208e-09,0.1152222721803442,0.0,1
EB-offset hybrid: main,209.89683143389234,-1.4182002945255192,355.4863691391594,4.686876951390521e-10,0.10759725880810199,0.1311009957325852,28.0,1
EB-offset hybrid: pairwise,210.13709974180398,-1.1779319866138849,340.8666579873864,2.181746151625947e-09,3.974170884180714e-09,0.0841613923109005,21.0,1
Naive respondents,202.03043791898887,-10.11439877916763,501.99999999999955,0.4157634029974345,0.1946549262744421,0.45283050927172086,0.0,2
OLS prediction,211.10387022513902,-1.0409664730174768,,,,,,2
EB main,210.434381898096,-1.7104548000604893,382.7667542882041,1.682587534308449e-10,0.21845550698603988,0.1917603986399396,0.0,2
EB pairwise,211.73107107637406,-0.4137656217824315,349.00382398292584,2.4669956397305394e-15,3.5480060395442267e-15,0.08908741050823075,0.0,2
EB-offset hybrid: main,210.42421678923964,-1.7206199089168592,378.60294547727005,5.900780449137819e-12,0.225759131862789,0.19241813799231275,2.0,2
EB-offset hybrid: pairwise,211.85843758332882,-0.2863991148276739,346.9063137117019,2.8853588718905326e-15,2.4198289221011006e-15,0.08034694464522596,6.0,2
Naive respondents,197.01342436103312,-11.957578368557876,489.99999999999994,0.49016998216707197,0.1308816443279358,0.5336123002405007,0.0,3
OLS prediction,209.9160928565672,0.9450901269761971,,,,,,3
EB main,208.16437512929676,-0.8066276002942345,312.33452714462493,6.653112743762867e-14,0.3770952625764225,0.22167979967711982,0.0,3
EB pairwise,210.8353827676462,1.8643800380552022,266.5538806630152,3.393152658899538e-12,4.721641606046658e-12,0.07405783251745149,0.0,3
EB-offset hybrid: main,208.01332619584736,-0.957676533743637,258.0585955572267,2.508778166249781e-09,0.3407427264594231,0.1707577639056073,37.0,3
EB-offset hybrid: pairwise,210.635773412388,1.6647706827970126,231.83515124125512,2.4458337414033373e-12,6.322583040423412e-12,0.06574869358040822,38.0,3
Naive respondents,201.51243799145232,-8.850182117992375,519.0,0.4134689467882764,0.1521730027976419,0.4147602313977071,0.0,4
OLS prediction,209.7611123915267,-0.6015077179179968,,,,,,4
EB main,208.9586340489888,-1.4039860604558783,395.449846347857,5.3205605701010504e-15,0.2019574893314661,0.11073037340609407,0.0,4
EB pairwise,208.81304272495586,-1.5495773844888276,350.3331049165009,1.3879823056585712e-13,1.8253431267089668e-13,0.0831601819376078,0.0,4
EB-offset hybrid: main,209.03504029320098,-1.3275798162437127,398.58266605065296,3.4417144382932654e-12,0.19180234047641334,0.10876827197080711,3.0,4
EB-offset hybrid: pairwise,208.99526561747035,-1.3673544919743392,359.2384779102062,1.570886388828446e-13,2.2039283656398845e-13,0.08003294147933679,2.0,4
Naive respondents,200.0874442107698,-10.532599961999694,501.99999999999955,0.47682689040502635,0.15535841950086565,0.49514668250351257,0.0,5
OLS prediction,210.31860861620808,-0.3014355565614153,,,,,,5
EB main,209.32601715593697,-1.2940270168325299,328.2292706081657,1.5602174199914876e-14,0.17475230827637045,0.138002046103401,0.0,5
EB pairwise,210.57420522949306,-0.04583894327643634,301.2691853668884,1.532538011834411e-14,1.9334058453673774e-14,0.03712628306673169,0.0,5
EB-offset hybrid: main,209.87951848862426,-0.7405256841452399,324.91144836807916,2.5023150345938798e-11,0.13170093326773696,0.11277350190442809,14.0,5
EB-offset hybrid: pairwise,210.8628725452066,0.24282837243711697,296.5216098427774,1.2735702523607162e-09,1.5045069447489934e-09,0.034672759470378664,22.0,5
Naive respondents,201.69304107362257,-11.145941891748578,505.00000000000034,0.44739274273214186,0.24224189168280558,0.5026587190480377,0.0,6
OLS prediction,212.12484575971155,-0.7141372056595969,,,,,,6
EB main,210.53973206421745,-2.299250901153698,340.6449798544277,1.3667401329894298e-10,0.31037406971932213,0.1815277582255837,0.0,6
EB pairwise,211.6285656691146,-1.2104172962565372,251.80803221923404,3.034922300370303e-12,2.9355661979845276e-12,0.06341200010689177,0.0,6
EB-offset hybrid: main,211.3003626388778,-1.5386203264933442,341.6667339930251,1.571228166321903e-09,0.28513286675805666,0.15195477377643035,7.0,6
